Family Name,Description,File Path,Version,Revit Version,File Format,Manufacturer,Tags,Status,LOD,Date Added,Last Updated,Notes,Thumbnail,Category,Available Subcategories,Subcategory
PE100 HDPE - Pipe system,"HDPE pipe type and fitting in Revit project file, contains tap connection and tee connection with configured pipe types, the fittings follow standard lookup template that should be changed for custom sizes.",G:\BIM\0-Piping\PLM_Pr_65_52_07_36_Repolen_HDPE_PE100_Pipes&Fittings,,Revit 2025,.rvt,REBOCO,"Type Catalog, Model",Active,LOD 400,2026-03-19,,,,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",Pipes & Fittings
Flanged Adaptor - Joint,"A flanged adaptor that represents joining of two pipe segments, sizes from 15mm to 300mm, could be used for underground to above ground pipe joining details.",G:\BIM\0-Piping\PLM-Pr_65_52_31-Flange_PNXX-Steel,,Revit 2025,.rfa,Astrapool,"Adaptive, Type Catalog",Active,LOD 350,2026-03-21,,,,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",Pipes & Fittings
Strainer - Y - Accessories,"Stainless steel threaded strainer ranges from 1/2"" to 3"", imperial unit family",G:\BIM\1-HVAC\Accessories\ACC-Pr_65_57_96_99-Y_Strainer-CI,,Revit 2025,.rfa,Caleffi,Type Catalog,Active,LOD 400,2026-03-21,,Modify for more sizes,,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",HVAC Components
PE-RT/AL/PE-RT - Pipe system,"PE-RT/AL/PE-RT pipe is a 5-layer composite pressure pipe combining Polyethylene of Raised Temperature resistance (PE-RT) with a central welded aluminum (AL) core, all fittings are included as 90 degrees with no tap connection, suitable for water supply and UFH (Under Floor Heating) works",G:\BIM\0-Piping\PLM-Pr_65_52_63_63-PERT_AL_PERT,,Revit 2025,.rvt,Heliroma,"Type Catalog, Model",Active,LOD 400,2026-03-21,,,,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",Pipes & Fittings
Lifting pump - Water Supply,"Small water supply pump for lifting from horizontal to vertical outlet, does not have outlets in the family, must be edited before use.",G:\BIM\2-Plumbing\Mechanical Equipment\MEQ-Pr_65_53_96-ZZ-Potable_Water_Pump,,Revit 2025,.rfa,Ebara,Type Catalog,Active,LOD 300,2026-03-21,,"The website has a lot of pumps that are worth checking out, http://www.ebara.it/",,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",Pumps
"Booster Pump Set - 3"" Imperial","Duplex vertical multistage booster pump package for commercial rainwater harvesting. Features two Goulds e-SV pumps on a 304 stainless steel skid. Includes variable frequency drives (VFD) for constant pressure control and automated pump alternation. Designed for non-potable applications: irrigation, cooling tower makeup, and toilet flushing (WATTS_RWP-3""-DVM_Duplex_Multistage_Booster_Pump).",G:\BIM\1-HVAC\Mechanical Equipment\MEQ-Pr_65_53_86_66-BoosterPumpSet-IN3,,Revit 2025,.rfa,Watts,"Nested, Detail, Model",Active,LOD 400,2026-03-22,,,,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",Pumps
PP-R100 with Fiberglass layer - Pipe system,"Pipe system with fittings and some valves (accessories), the family is upgraded and would need some modifications to fix its errors for TEEs and bridges, pipes have fiberglass insulation.",G:\BIM\0-Piping\PLM-Pr_65_52_63_63-PPR100_GF_SDR7.4,,Revit 2025,.rvt,Heliroma,"Model, Type Catalog",Needs Update,LOD 400,2026-03-22,,Fix the family before usage,,Building Services,"Pumps, Solar Energy, Sprinkler Systems, Ventilation, Pipes & Fittings, HVAC Components, Heating Systems, Fire Protection, Elevators & Escalators, Electrical Installations, Cable Management, Air Handling Units, Plumbing",Pipes & Fittings
